7.83 	8.80 	8.83 	8.57 	7.70 	4.70 	4.67 	4.63 	4.77 	4.80 	9.37 	9.17 	9.93 	8.30 	8.40 	5.30 	5.47 	5.70 	5.50 	5.67 	10.60 	9.67 	9.90 	8.47 	8.33 	5.33 	5.63 	5.63 	5.33 	5.53 
9.47 	7.40 	6.83 	6.77 	6.97 	4.13 	4.33 	4.27 	4.47 	4.57 	8.93 	9.47 	9.30 	7.40 	7.63 	5.20 	5.47 	5.80 	5.73 	5.83 	11.90 	10.33 	11.03 	7.93 	8.57 	5.33 	5.03 	5.23 	5.33 	5.43 
8.30 	6.67 	6.83 	5.80 	8.17 	4.33 	4.37 	4.37 	4.33 	4.43 	8.03 	7.63 	7.47 	6.87 	7.23 	5.43 	5.20 	5.23 	5.17 	4.97 	8.27 	8.27 	8.50 	7.80 	7.70 	4.70 	4.73 	4.97 	5.03 	5.07 
6.27 	5.80 	6.90 	6.90 	7.20 	4.23 	4.13 	4.20 	4.37 	4.33 	7.50 	7.50 	7.03 	7.23 	8.20 	5.00 	4.83 	5.07 	5.03 	5.27 	8.17 	8.57 	9.27 	8.60 	8.93 	4.63 	4.80 	4.90 	4.90 	4.87 
6.97 	6.60 	6.67 	7.73 	6.97	4.37 	4.87 	4.40 	4.50 	4.50	6.70 	7.57 	7.80 	8.03 	7.77	4.70 	5.07 	5.03 	4.97 	5.27	7.77 	8.53 	8.93 	8.77 	8.07	4.53 	4.40 	4.90 	5.10 	5.13
5.37 	5.70 	5.23 	5.53 	5.73 	5.47 	6.10 	4.17 	4.47 	5.17 	5.70 	5.77 	6.43 	7.03 	7.23 	6.40 	6.83 	5.50 	5.53 	5.10 	5.77 	5.40 	5.53 	5.63 	5.63 	7.33 	7.57 	7.93 	7.57 	5.93 
5.63 	5.77 	5.37 	5.47 	5.53 	6.10 	5.63 	3.77 	4.27 	4.57 	6.30 	6.63 	6.73 	6.23 	7.17 	6.53 	6.30 	5.50 	4.50 	4.90 	5.43 	5.43 	5.47 	5.47 	5.40 	7.10 	7.17 	7.40 	5.83 	5.17 
5.43 	5.63 	5.53 	5.87 	5.93 	5.33 	5.10 	5.90 	5.17 	5.67 	6.03 	7.73 	7.43 	7.97 	7.47 	5.27 	5.13 	5.90 	5.20 	5.57 	5.67 	5.80 	5.77 	5.43 	5.50 	5.07 	5.30 	6.73 	6.70 	6.43 
5.93 	6.23 	6.73 	6.27 	6.50 	4.87 	4.60 	5.13 	5.93 	6.43 	6.67 	7.03 	8.17 	7.40 	7.17 	4.67 	4.97 	7.03 	6.53 	6.50 	5.63 	5.67 	5.73 	5.90 	6.07 	5.83 	5.83 	8.03 	7.70 	9.90 
6.43 	6.80 	6.97 	6.60 	6.40	6.13 	5.07 	6.03 	7.00 	6.07	6.07 	6.57 	6.83 	6.93 	6.67	5.93 	5.13 	7.37 	6.93 	8.97	5.63 	5.73 	5.87 	5.77 	6.20	6.13 	5.50 	7.43 	7.63 	8.60
9.67 	10.47 	7.93 	7.67 	7.43 	5.47 	5.60 	5.63 	5.67 	5.50 	8.17 	12.67 	9.80 	6.83 	7.10 	5.27 	5.53 	5.37 	5.03 	5.43 	9.43 	10.23 	9.43 	7.73 	7.43 	4.57 	4.77 	4.83 	4.93 	4.97 
9.23 	8.37 	6.97 	6.93 	7.70 	5.17 	5.03 	5.07 	5.13 	5.13 	8.13 	7.00 	6.87 	6.90 	7.43 	4.63 	4.73 	4.09 	5.03 	5.30 	9.20 	8.23 	9.83 	6.80 	7.60 	4.37 	4.47 	4.60 	4.70 	4.77 
9.23 	8.37 	6.97 	6.93 	7.70 	4.67 	4.80 	4.87 	5.10 	5.20 	8.13 	7.00 	6.87 	6.90 	7.11 	4.57 	4.47 	4.77 	4.47 	4.57 	9.20 	8.23 	9.83 	6.80 	7.60 	4.20 	4.33 	4.37 	4.43 	4.50 
6.53 	6.13 	5.77 	7.03 	7.53 	4.37 	4.40 	4.37 	4.50 	4.63 	5.57 	6.07 	5.23 	6.93 	7.03 	4.30 	4.73 	4.83 	5.00 	5.03 	6.27 	6.90 	7.50 	7.20 	7.60 	4.20 	4.30 	4.33 	4.47 	4.50 
7.67 	6.50 	5.57 	7.70 	7.57	4.53 	4.37 	4.50 	4.70 	4.53	6.03 	6.77 	6.23 	7.37 	7.00	4.40 	4.30 	4.60 	5.00 	5.27	7.20 	7.87 	8.07 	7.77 	7.93	4.07 	4.30 	4.40 	4.47 	4.83
6.20 	6.47 	6.57 	6.50 	6.60 	6.17 	6.23 	3.73 	4.07 	4.67 	5.63 	5.63 	6.00 	6.33 	7.43 	5.57 	5.73 	3.93 	4.37 	4.57 	6.00 	5.70 	5.93 	6.10 	6.97 	6.00 	6.30 	5.03 	4.73 	4.87 
5.77 	5.50 	5.63 	5.04 	6.60 	6.63 	6.33 	3.53 	3.97 	4.23 	5.87 	6.10 	5.77 	5.97 	5.67 	6.23 	5.47 	3.43 	3.93 	4.37 	6.00 	6.40 	6.20 	6.13 	6.33 	6.27 	6.20 	4.20 	4.20 	4.90 
5.50 	5.97 	5.57 	5.73 	6.07 	6.20 	5.40 	6.27 	5.17 	5.43 	5.83 	5.97 	5.97 	7.23 	4.37 	4.80 	4.40 	5.43 	4.43 	5.20 	6.83 	6.83 	6.07 	6.37 	6.80 	4.53 	4.57 	6.03 	5.13 	5.57 
5.90 	6.20 	5.90 	6.07 	6.23 	5.07 	5.20 	5.47 	6.87 	7.10 	5.90 	6.20 	6.80 	6.37 	6.43 	4.93 	4.77 	5.83 	5.83 	6.27 	6.33 	6.77 	6.77 	6.80 	6.30 	4.93 	5.17 	5.93 	6.63 	5.80 
